,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
0,less than 0,6,critical account or other credits existing not at this bank,television,1169,unknown or no savings account,greater than 7 years,4,male-single,none,4,real estate,67,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
1,0-200,48,existing credits paid back duly till now,television,5951,less than 100,1-4 years,2,female-divorced_married_or_single,none,2,real estate,22,none,own,1,skilled employee,1,none,yes,2
2,no checking account,12,critical account or other credits existing not at this bank,education,2096,less than 100,4-7 years,2,male-single,none,3,real estate,49,none,own,1,unskilled,2,none,yes,1
3,less than 0,42,existing credits paid back duly till now,furniture,7882,less than 100,4-7 years,2,male-single,guarantor,4,life insurance,45,none,for free,1,skilled employee,2,none,yes,1
4,less than 0,24,delay in paying off in the past,new car,4870,less than 100,1-4 years,3,male-single,none,4,unknown,53,none,for free,2,skilled employee,2,none,yes,2
5,no checking account,36,existing credits paid back duly till now,education,9055,unknown or no savings account,1-4 years,2,male-single,none,4,unknown,35,none,for free,1,unskilled,2,"yes, registered under the customer name",yes,1
6,no checking account,24,existing credits paid back duly till now,furniture,2835,500-1000,greater than 7 years,3,male-single,none,4,life insurance,53,none,own,1,skilled employee,1,none,yes,1
7,0-200,36,existing credits paid back duly till now,used car,6948,less than 100,1-4 years,2,male-single,none,2,car or other,35,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
8,no checking account,12,existing credits paid back duly till now,television,3059,greater than 1000,4-7 years,2,male-divorced,none,4,real estate,61,none,own,1,unskilled,1,none,yes,1
9,0-200,30,critical account or other credits existing not at this bank,new car,5234,less than 100,unemployed,4,male-married_widowed,none,2,car or other,28,none,own,2,management or self-employed or officer,1,none,yes,2
10,0-200,12,existing credits paid back duly till now,new car,1295,less than 100,less than 1 year,3,female-divorced_married_or_single,none,1,car or other,25,none,rent,1,skilled employee,1,none,yes,2
11,less than 0,48,existing credits paid back duly till now,business,4308,less than 100,less than 1 year,3,female-divorced_married_or_single,none,4,life insurance,24,none,rent,1,skilled employee,1,none,yes,2
12,0-200,12,existing credits paid back duly till now,television,1567,less than 100,1-4 years,1,female-divorced_married_or_single,none,1,car or other,22,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
13,less than 0,24,critical account or other credits existing not at this bank,new car,1199,less than 100,greater than 7 years,4,male-single,none,4,car or other,60,none,own,2,unskilled,1,none,yes,2
14,less than 0,15,existing credits paid back duly till now,new car,1403,less than 100,1-4 years,2,female-divorced_married_or_single,none,4,car or other,28,none,rent,1,skilled employee,1,none,yes,1
15,less than 0,24,existing credits paid back duly till now,television,1282,100-500,1-4 years,4,female-divorced_married_or_single,none,2,car or other,32,none,own,1,unskilled,1,none,yes,2
16,no checking account,24,critical account or other credits existing not at this bank,television,2424,unknown or no savings account,greater than 7 years,4,male-single,none,4,life insurance,53,none,own,2,skilled employee,1,none,yes,1
17,less than 0,30,no credits taken or all credits paid back duly,business,8072,unknown or no savings account,less than 1 year,2,male-single,none,3,car or other,25,bank,own,3,skilled employee,1,none,yes,1
